symptom_id,symptom_name,medical_term,category,body_system,severity_weight,urgency_level,common_aliases,description
SYM_00039,Watery Diarrhea,Acute Secretory Diarrhea,Gastrointestinal & Digestive,Gastrointestinal,6,Moderate,"runny stomach; loose watery stools; gut purge",Frequent liquid stools (>4 times/day) with risk of rapid dehydration
SYM_00040,Bloody Stools (Hematochezia),Lower GI Bleeding,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"red stool; blood in toilet; rectal bleeding",Bright red blood coating stools or mixed in bowl
SYM_00041,Melena (Black Tarry Stools),Upper GI Bleeding Stool,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"black stool; tarry bowel movement",Pungent jet-black tarry stools indicating upper digestive hemorrhage
SYM_00042,Jaundice (Yellow Sclera & Skin),Hyperbilirubinemia / Icterus,Gastrointestinal & Digestive,Gastrointestinal,7,High,"yellow eyes; yellow skin; liver jaundice",Yellowing of whites of eyes and epidermis due to biliary dysfunction
SYM_00043,Abdominal Distension & Ascites,Peritoneal Fluid Accumulation,Gastrointestinal & Digestive,Gastrointestinal,7,Moderate,"swollen belly; fluid in stomach; potbelly distension","Visible swelling, tightness, and fluid wave in abdominal cavity"
SYM_00044,Difficulty Swallowing (Dysphagia),Esophageal Dysphagia,Gastrointestinal & Digestive,Gastrointestinal,7,Moderate,"choking on food; swallow pain; throat food block",Pain or sensation of food getting stuck in mid-chest during transit
SYM_00045,Throbbing Hemicranial Headache,Migraine Cephalea,Neurological & Cognitive,Neurological,7,Moderate,"migraine; one-sided head pain; pulsing temple",Pulsatile one-sided headache often paired with photophobia
SYM_00046,Thunderclap Headache,Hyperacute Cephalea,Neurological & Cognitive,Neurological,10,Critical,"worst headache of life; aneurysm headache; explosive head pain","Instantaneous, agonizing headache reaching peak intensity in <1 minute"
SYM_00047,True Rotational Vertigo,Vestibular Vertigo,Neurological & Cognitive,Neurological,6,Moderate,"spinning room; whirling dizziness; inner ear spin",Hallucination of spinning room or surroundings causing unsteadiness
SYM_00048,Facial Droop & Asymmetry,Hemifacial Paresis,Neurological & Cognitive,Neurological,9,Critical,"crooked smile; stroke face; bell palsy droop",Sudden weakness or sagging of one side of face with mouth droop
SYM_00049,Unilateral Arm or Leg Weakness,Hemiparesis,Neurological & Cognitive,Neurological,9,Critical,"limp arm; stroke weakness; one-sided paralysis",Sudden loss of motor power or inability to raise one arm/leg
SYM_00050,Slurred Speech / Aphasia,Dysarthria & Expressive Aphasia,Neurological & Cognitive,Neurological,9,Critical,"mumbled words; cannot speak clearly; stroke speech","Garbled, incomprehensible speech or inability to find basic words"
SYM_00051,Generalized Tonic-Clonic Seizure,Epileptic Convulsion,Neurological & Cognitive,Neurological,9,Critical,"fit; convulsion; epileptic attack",Sudden loss of consciousness with stiffening and violent muscle spasms
SYM_00052,Peripheral Neuropathy / Paresthesia,Stocking-Glove Paresthesia,Neurological & Cognitive,Neurological,5,Low,"pins and needles; numb toes; burning feet","Tingling, burning sensations or numbness in hands and soles of feet"
SYM_00053,Neck Stiffness with Brudzinski Sign,Meningismus,Neurological & Cognitive,Neurological,9,Critical,"stiff neck with fever; meningitis neck; rigid cervical spine","Severe neck rigidity preventing chin from touching chest, with fever"
SYM_00054,Tremor at Rest,Parkinsonian Resting Tremor,Neurological & Cognitive,Neurological,5,Low,"shaky hands; resting hand tremor; involuntary twitching",Pill-rolling rhythmic shaking of hands while relaxed in lap
SYM_00055,Acute Faintness (Head and Neck),Acute Faintness of Head and Neck,General & Systemic,General,8,Critical,"acute faintness (head and neck); faintness; acute faintness",Clinical symptom presentation manifesting as acute faintness localized in the head and neck.
SYM_00056,Acute Shivering (Head and Neck),Acute Shivering of Head and Neck,General & Systemic,General,6,High,"acute shivering (head and neck); shivering; acute shivering",Clinical symptom presentation manifesting as acute shivering localized in the head and neck.
SYM_00057,Acute Fatigue (Core Temperature),Acute Fatigue of Core Temperature,General & Systemic,General,4,Moderate,"acute fatigue (core temperature); fatigue; acute fatigue",Clinical symptom presentation manifesting as acute fatigue localized in the core temperature.
SYM_00058,Acute Weakness (Core Temperature),Acute Weakness of Core Temperature,General & Systemic,General,2,Low,"acute weakness (core temperature); weakness; acute weakness",Clinical symptom presentation manifesting as acute weakness localized in the core temperature.
SYM_00059,Acute Lethargy (Core Temperature),Acute Lethargy of Core Temperature,General & Systemic,General,9,Critical,"acute lethargy (core temperature); lethargy; acute lethargy",Clinical symptom presentation manifesting as acute lethargy localized in the core temperature.
SYM_00060,Acute Temperature Spike (Core Temperature),Acute Temperature Spike of Core Temperature,General & Systemic,General,7,High,"acute temperature spike (core temperature); temperature spike; acute temperature spike",Clinical symptom presentation manifesting as acute temperature spike localized in the core temperature.
SYM_00061,Acute Weight Fluctuations (Core Temperature),Acute Weight Fluctuations of Core Temperature,General & Systemic,General,5,Moderate,"acute weight fluctuations (core temperature); weight fluctuations; acute weight fluctuations",Clinical symptom presentation manifesting as acute weight fluctuations localized in the core temperature.
SYM_00062,Acute Fluid Retention (Core Temperature),Acute Fluid Retention of Core Temperature,General & Systemic,General,3,Low,"acute fluid retention (core temperature); fluid retention; acute fluid retention",Clinical symptom presentation manifesting as acute fluid retention localized in the core temperature.
SYM_00063,Acute Sweating (Core Temperature),Acute Sweating of Core Temperature,General & Systemic,General,1,Low,"acute sweating (core temperature); sweating; acute sweating",Clinical symptom presentation manifesting as acute sweating localized in the core temperature.
SYM_00064,Acute Chills (Core Temperature),Acute Chills of Core Temperature,General & Systemic,General,8,Critical,"acute chills (core temperature); chills; acute chills",Clinical symptom presentation manifesting as acute chills localized in the core temperature.
SYM_00065,Acute Malaise (Core Temperature),Acute Malaise of Core Temperature,General & Systemic,General,6,High,"acute malaise (core temperature); malaise; acute malaise",Clinical symptom presentation manifesting as acute malaise localized in the core temperature.
SYM_00066,Acute Restlessness (Core Temperature),Acute Restlessness of Core Temperature,General & Systemic,General,4,Moderate,"acute restlessness (core temperature); restlessness; acute restlessness",Clinical symptom presentation manifesting as acute restlessness localized in the core temperature.
SYM_00067,Acute Stamina Drop (Core Temperature),Acute Stamina Drop of Core Temperature,General & Systemic,General,2,Low,"acute stamina drop (core temperature); stamina drop; acute stamina drop",Clinical symptom presentation manifesting as acute stamina drop localized in the core temperature.
SYM_00068,Acute Dehydration (Core Temperature),Acute Dehydration of Core Temperature,General & Systemic,General,9,Critical,"acute dehydration (core temperature); dehydration; acute dehydration",Clinical symptom presentation manifesting as acute dehydration localized in the core temperature.
SYM_00069,Acute Faintness (Core Temperature),Acute Faintness of Core Temperature,General & Systemic,General,7,High,"acute faintness (core temperature); faintness; acute faintness",Clinical symptom presentation manifesting as acute faintness localized in the core temperature.
SYM_00070,Acute Shivering (Core Temperature),Acute Shivering of Core Temperature,General & Systemic,General,5,Moderate,"acute shivering (core temperature); shivering; acute shivering",Clinical symptom presentation manifesting as acute shivering localized in the core temperature.
SYM_00071,Chronic Fatigue (Whole Body),Chronic Fatigue of Whole Body,General & Systemic,General,3,Low,"chronic fatigue (whole body); fatigue; chronic fatigue",Clinical symptom presentation manifesting as chronic fatigue localized in the whole body.
SYM_00072,Chronic Weakness (Whole Body),Chronic Weakness of Whole Body,General & Systemic,General,1,Low,"chronic weakness (whole body); weakness; chronic weakness",Clinical symptom presentation manifesting as chronic weakness localized in the whole body.
SYM_00073,Chronic Lethargy (Whole Body),Chronic Lethargy of Whole Body,General & Systemic,General,8,Critical,"chronic lethargy (whole body); lethargy; chronic lethargy",Clinical symptom presentation manifesting as chronic lethargy localized in the whole body.
SYM_00074,Chronic Temperature Spike (Whole Body),Chronic Temperature Spike of Whole Body,General & Systemic,General,6,High,"chronic temperature spike (whole body); temperature spike; chronic temperature spike",Clinical symptom presentation manifesting as chronic temperature spike localized in the whole body.
SYM_00075,Chronic Weight Fluctuations (Whole Body),Chronic Weight Fluctuations of Whole Body,General & Systemic,General,4,Moderate,"chronic weight fluctuations (whole body); weight fluctuations; chronic weight fluctuations",Clinical symptom presentation manifesting as chronic weight fluctuations localized in the whole body.
SYM_00076,Chronic Fluid Retention (Whole Body),Chronic Fluid Retention of Whole Body,General & Systemic,General,2,Low,"chronic fluid retention (whole body); fluid retention; chronic fluid retention",Clinical symptom presentation manifesting as chronic fluid retention localized in the whole body.
SYM_00077,Chronic Sweating (Whole Body),Chronic Sweating of Whole Body,General & Systemic,General,9,Critical,"chronic sweating (whole body); sweating; chronic sweating",Clinical symptom presentation manifesting as chronic sweating localized in the whole body.
SYM_00078,Chronic Chills (Whole Body),Chronic Chills of Whole Body,General & Systemic,General,7,High,"chronic chills (whole body); chills; chronic chills",Clinical symptom presentation manifesting as chronic chills localized in the whole body.
SYM_00079,Chronic Malaise (Whole Body),Chronic Malaise of Whole Body,General & Systemic,General,5,Moderate,"chronic malaise (whole body); malaise; chronic malaise",Clinical symptom presentation manifesting as chronic malaise localized in the whole body.
SYM_00080,Chronic Restlessness (Whole Body),Chronic Restlessness of Whole Body,General & Systemic,General,3,Low,"chronic restlessness (whole body); restlessness; chronic restlessness",Clinical symptom presentation manifesting as chronic restlessness localized in the whole body.
SYM_00081,Chronic Stamina Drop (Whole Body),Chronic Stamina Drop of Whole Body,General & Systemic,General,1,Low,"chronic stamina drop (whole body); stamina drop; chronic stamina drop",Clinical symptom presentation manifesting as chronic stamina drop localized in the whole body.
SYM_00082,Chronic Dehydration (Whole Body),Chronic Dehydration of Whole Body,General & Systemic,General,8,Critical,"chronic dehydration (whole body); dehydration; chronic dehydration",Clinical symptom presentation manifesting as chronic dehydration localized in the whole body.
SYM_00083,Chronic Faintness (Whole Body),Chronic Faintness of Whole Body,General & Systemic,General,6,High,"chronic faintness (whole body); faintness; chronic faintness",Clinical symptom presentation manifesting as chronic faintness localized in the whole body.
SYM_00084,Chronic Shivering (Whole Body),Chronic Shivering of Whole Body,General & Systemic,General,4,Moderate,"chronic shivering (whole body); shivering; chronic shivering",Clinical symptom presentation manifesting as chronic shivering localized in the whole body.
SYM_00085,Chronic Fatigue (Upper Torso),Chronic Fatigue of Upper Torso,General & Systemic,General,2,Low,"chronic fatigue (upper torso); fatigue; chronic fatigue",Clinical symptom presentation manifesting as chronic fatigue localized in the upper torso.
SYM_00086,Chronic Weakness (Upper Torso),Chronic Weakness of Upper Torso,General & Systemic,General,9,Critical,"chronic weakness (upper torso); weakness; chronic weakness",Clinical symptom presentation manifesting as chronic weakness localized in the upper torso.
SYM_00087,Chronic Lethargy (Upper Torso),Chronic Lethargy of Upper Torso,General & Systemic,General,7,High,"chronic lethargy (upper torso); lethargy; chronic lethargy",Clinical symptom presentation manifesting as chronic lethargy localized in the upper torso.
SYM_00088,Chronic Temperature Spike (Upper Torso),Chronic Temperature Spike of Upper Torso,General & Systemic,General,5,Moderate,"chronic temperature spike (upper torso); temperature spike; chronic temperature spike",Clinical symptom presentation manifesting as chronic temperature spike localized in the upper torso.
SYM_00089,Chronic Weight Fluctuations (Upper Torso),Chronic Weight Fluctuations of Upper Torso,General & Systemic,General,3,Low,"chronic weight fluctuations (upper torso); weight fluctuations; chronic weight fluctuations",Clinical symptom presentation manifesting as chronic weight fluctuations localized in the upper torso.
SYM_00090,Chronic Fluid Retention (Upper Torso),Chronic Fluid Retention of Upper Torso,General & Systemic,General,1,Low,"chronic fluid retention (upper torso); fluid retention; chronic fluid retention",Clinical symptom presentation manifesting as chronic fluid retention localized in the upper torso.
SYM_00091,Chronic Sweating (Upper Torso),Chronic Sweating of Upper Torso,General & Systemic,General,8,Critical,"chronic sweating (upper torso); sweating; chronic sweating",Clinical symptom presentation manifesting as chronic sweating localized in the upper torso.
SYM_00092,Chronic Chills (Upper Torso),Chronic Chills of Upper Torso,General & Systemic,General,6,High,"chronic chills (upper torso); chills; chronic chills",Clinical symptom presentation manifesting as chronic chills localized in the upper torso.
SYM_00093,Chronic Malaise (Upper Torso),Chronic Malaise of Upper Torso,General & Systemic,General,4,Moderate,"chronic malaise (upper torso); malaise; chronic malaise",Clinical symptom presentation manifesting as chronic malaise localized in the upper torso.
SYM_00094,Chronic Restlessness (Upper Torso),Chronic Restlessness of Upper Torso,General & Systemic,General,2,Low,"chronic restlessness (upper torso); restlessness; chronic restlessness",Clinical symptom presentation manifesting as chronic restlessness localized in the upper torso.
SYM_00095,Chronic Stamina Drop (Upper Torso),Chronic Stamina Drop of Upper Torso,General & Systemic,General,9,Critical,"chronic stamina drop (upper torso); stamina drop; chronic stamina drop",Clinical symptom presentation manifesting as chronic stamina drop localized in the upper torso.
SYM_00096,Chronic Dehydration (Upper Torso),Chronic Dehydration of Upper Torso,General & Systemic,General,7,High,"chronic dehydration (upper torso); dehydration; chronic dehydration",Clinical symptom presentation manifesting as chronic dehydration localized in the upper torso.
SYM_00097,Chronic Faintness (Upper Torso),Chronic Faintness of Upper Torso,General & Systemic,General,5,Moderate,"chronic faintness (upper torso); faintness; chronic faintness",Clinical symptom presentation manifesting as chronic faintness localized in the upper torso.
SYM_00098,Chronic Shivering (Upper Torso),Chronic Shivering of Upper Torso,General & Systemic,General,3,Low,"chronic shivering (upper torso); shivering; chronic shivering",Clinical symptom presentation manifesting as chronic shivering localized in the upper torso.
SYM_00099,Chronic Fatigue (Lower Extremities),Chronic Fatigue of Lower Extremities,General & Systemic,General,1,Low,"chronic fatigue (lower extremities); fatigue; chronic fatigue",Clinical symptom presentation manifesting as chronic fatigue localized in the lower extremities.
SYM_00100,Chronic Weakness (Lower Extremities),Chronic Weakness of Lower Extremities,General & Systemic,General,8,Critical,"chronic weakness (lower extremities); weakness; chronic weakness",Clinical symptom presentation manifesting as chronic weakness localized in the lower extremities.
SYM_00101,Chronic Lethargy (Lower Extremities),Chronic Lethargy of Lower Extremities,General & Systemic,General,6,High,"chronic lethargy (lower extremities); lethargy; chronic lethargy",Clinical symptom presentation manifesting as chronic lethargy localized in the lower extremities.
SYM_00102,Chronic Temperature Spike (Lower Extremities),Chronic Temperature Spike of Lower Extremities,General & Systemic,General,4,Moderate,"chronic temperature spike (lower extremities); temperature spike; chronic temperature spike",Clinical symptom presentation manifesting as chronic temperature spike localized in the lower extremities.
SYM_00103,Chronic Weight Fluctuations (Lower Extremities),Chronic Weight Fluctuations of Lower Extremities,General & Systemic,General,2,Low,"chronic weight fluctuations (lower extremities); weight fluctuations; chronic weight fluctuations",Clinical symptom presentation manifesting as chronic weight fluctuations localized in the lower extremities.
SYM_00104,Chronic Fluid Retention (Lower Extremities),Chronic Fluid Retention of Lower Extremities,General & Systemic,General,9,Critical,"chronic fluid retention (lower extremities); fluid retention; chronic fluid retention",Clinical symptom presentation manifesting as chronic fluid retention localized in the lower extremities.
SYM_00105,Chronic Sweating (Lower Extremities),Chronic Sweating of Lower Extremities,General & Systemic,General,7,High,"chronic sweating (lower extremities); sweating; chronic sweating",Clinical symptom presentation manifesting as chronic sweating localized in the lower extremities.
SYM_00106,Chronic Chills (Lower Extremities),Chronic Chills of Lower Extremities,General & Systemic,General,5,Moderate,"chronic chills (lower extremities); chills; chronic chills",Clinical symptom presentation manifesting as chronic chills localized in the lower extremities.
SYM_00107,Chronic Malaise (Lower Extremities),Chronic Malaise of Lower Extremities,General & Systemic,General,3,Low,"chronic malaise (lower extremities); malaise; chronic malaise",Clinical symptom presentation manifesting as chronic malaise localized in the lower extremities.
SYM_00108,Chronic Restlessness (Lower Extremities),Chronic Restlessness of Lower Extremities,General & Systemic,General,1,Low,"chronic restlessness (lower extremities); restlessness; chronic restlessness",Clinical symptom presentation manifesting as chronic restlessness localized in the lower extremities.
SYM_00109,Chronic Stamina Drop (Lower Extremities),Chronic Stamina Drop of Lower Extremities,General & Systemic,General,8,Critical,"chronic stamina drop (lower extremities); stamina drop; chronic stamina drop",Clinical symptom presentation manifesting as chronic stamina drop localized in the lower extremities.
SYM_00110,Chronic Dehydration (Lower Extremities),Chronic Dehydration of Lower Extremities,General & Systemic,General,6,High,"chronic dehydration (lower extremities); dehydration; chronic dehydration",Clinical symptom presentation manifesting as chronic dehydration localized in the lower extremities.
SYM_00111,Chronic Faintness (Lower Extremities),Chronic Faintness of Lower Extremities,General & Systemic,General,4,Moderate,"chronic faintness (lower extremities); faintness; chronic faintness",Clinical symptom presentation manifesting as chronic faintness localized in the lower extremities.
SYM_00112,Chronic Shivering (Lower Extremities),Chronic Shivering of Lower Extremities,General & Systemic,General,2,Low,"chronic shivering (lower extremities); shivering; chronic shivering",Clinical symptom presentation manifesting as chronic shivering localized in the lower extremities.
SYM_00113,Chronic Fatigue (Head and Neck),Chronic Fatigue of Head and Neck,General & Systemic,General,9,Critical,"chronic fatigue (head and neck); fatigue; chronic fatigue",Clinical symptom presentation manifesting as chronic fatigue localized in the head and neck.
SYM_00114,Chronic Weakness (Head and Neck),Chronic Weakness of Head and Neck,General & Systemic,General,7,High,"chronic weakness (head and neck); weakness; chronic weakness",Clinical symptom presentation manifesting as chronic weakness localized in the head and neck.
SYM_00115,Chronic Lethargy (Head and Neck),Chronic Lethargy of Head and Neck,General & Systemic,General,5,Moderate,"chronic lethargy (head and neck); lethargy; chronic lethargy",Clinical symptom presentation manifesting as chronic lethargy localized in the head and neck.
SYM_00116,Chronic Temperature Spike (Head and Neck),Chronic Temperature Spike of Head and Neck,General & Systemic,General,3,Low,"chronic temperature spike (head and neck); temperature spike; chronic temperature spike",Clinical symptom presentation manifesting as chronic temperature spike localized in the head and neck.
SYM_00117,Chronic Weight Fluctuations (Head and Neck),Chronic Weight Fluctuations of Head and Neck,General & Systemic,General,1,Low,"chronic weight fluctuations (head and neck); weight fluctuations; chronic weight fluctuations",Clinical symptom presentation manifesting as chronic weight fluctuations localized in the head and neck.
SYM_00118,Chronic Fluid Retention (Head and Neck),Chronic Fluid Retention of Head and Neck,General & Systemic,General,8,Critical,"chronic fluid retention (head and neck); fluid retention; chronic fluid retention",Clinical symptom presentation manifesting as chronic fluid retention localized in the head and neck.
SYM_00119,Chronic Sweating (Head and Neck),Chronic Sweating of Head and Neck,General & Systemic,General,6,High,"chronic sweating (head and neck); sweating; chronic sweating",Clinical symptom presentation manifesting as chronic sweating localized in the head and neck.
SYM_00120,Chronic Chills (Head and Neck),Chronic Chills of Head and Neck,General & Systemic,General,4,Moderate,"chronic chills (head and neck); chills; chronic chills",Clinical symptom presentation manifesting as chronic chills localized in the head and neck.
SYM_00121,Chronic Malaise (Head and Neck),Chronic Malaise of Head and Neck,General & Systemic,General,2,Low,"chronic malaise (head and neck); malaise; chronic malaise",Clinical symptom presentation manifesting as chronic malaise localized in the head and neck.
SYM_00122,Chronic Restlessness (Head and Neck),Chronic Restlessness of Head and Neck,General & Systemic,General,9,Critical,"chronic restlessness (head and neck); restlessness; chronic restlessness",Clinical symptom presentation manifesting as chronic restlessness localized in the head and neck.
SYM_00123,Chronic Stamina Drop (Head and Neck),Chronic Stamina Drop of Head and Neck,General & Systemic,General,7,High,"chronic stamina drop (head and neck); stamina drop; chronic stamina drop",Clinical symptom presentation manifesting as chronic stamina drop localized in the head and neck.
SYM_00124,Chronic Dehydration (Head and Neck),Chronic Dehydration of Head and Neck,General & Systemic,General,5,Moderate,"chronic dehydration (head and neck); dehydration; chronic dehydration",Clinical symptom presentation manifesting as chronic dehydration localized in the head and neck.
SYM_00125,Chronic Faintness (Head and Neck),Chronic Faintness of Head and Neck,General & Systemic,General,3,Low,"chronic faintness (head and neck); faintness; chronic faintness",Clinical symptom presentation manifesting as chronic faintness localized in the head and neck.
SYM_00126,Chronic Shivering (Head and Neck),Chronic Shivering of Head and Neck,General & Systemic,General,1,Low,"chronic shivering (head and neck); shivering; chronic shivering",Clinical symptom presentation manifesting as chronic shivering localized in the head and neck.
SYM_00127,Chronic Fatigue (Core Temperature),Chronic Fatigue of Core Temperature,General & Systemic,General,8,Critical,"chronic fatigue (core temperature); fatigue; chronic fatigue",Clinical symptom presentation manifesting as chronic fatigue localized in the core temperature.
SYM_00128,Chronic Weakness (Core Temperature),Chronic Weakness of Core Temperature,General & Systemic,General,6,High,"chronic weakness (core temperature); weakness; chronic weakness",Clinical symptom presentation manifesting as chronic weakness localized in the core temperature.
SYM_00129,Chronic Lethargy (Core Temperature),Chronic Lethargy of Core Temperature,General & Systemic,General,4,Moderate,"chronic lethargy (core temperature); lethargy; chronic lethargy",Clinical symptom presentation manifesting as chronic lethargy localized in the core temperature.
SYM_00130,Chronic Temperature Spike (Core Temperature),Chronic Temperature Spike of Core Temperature,General & Systemic,General,2,Low,"chronic temperature spike (core temperature); temperature spike; chronic temperature spike",Clinical symptom presentation manifesting as chronic temperature spike localized in the core temperature.
