disease_id,disease_name,icd10_code,category,risk_level,severity,prevalence_rate,common_symptoms,key_diagnostic_markers,prevention_guidelines,diet_recommendations,exercise_recommendations,urgent_warning_signs
DIS_00011,Gastroesophageal Reflux Disease (GERD),K21.9,Gastroenterology & Hepatology,Low,Mild,"1 in 2,500 individuals globally","Epigastric Burning Pain; Persistent Nausea; Difficulty Swallowing (Dysphagia)","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Avoid late-night eating, elevate head of bed, eliminate triggers.","Alkaline foods, oatmeal, ginger, chamomile, avoid caffeine.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Hematemesis, progressive dysphagia, unintentional weight loss."
DIS_00012,Chronic Viral Hepatitis B,B18.1,Gastroenterology & Hepatology,High,Severe,"1 in 2,500 individuals globally","Jaundice (Yellow Sclera & Skin); Loss of Appetite; Abdominal Distension & Ascites; Chronic Fatigue","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Hepatitis B vaccination, safe injection protocols.","Low-fat liver-friendly meals, lean protein, milk thistle tea.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Ascites accumulation, hepatic encephalopathy, confusion."
DIS_00013,Rheumatoid Arthritis,M06.9,Rheumatology & Autoimmune Diseases,Moderate,Moderate,"1 in 2,500 individuals globally","Generalized Malaise; Chronic Fatigue; Low Grade Fever","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Early DMARD initiation, smoking cessation, joint protection.","Anti-inflammatory diet, turmeric curcumin, wild fatty fish.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Systemic vasculitis, unremitting joint destruction, pericarditis."
DIS_00014,Chronic Kidney Disease (Stage 3-4),N18.3,Nephrology & Renal Medicine,High,Severe,"1 in 2,500 individuals globally","Bilateral Ankle Swelling; Generalized Edema; Chronic Fatigue; Loss of Appetite","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Strict ACEi/ARB renal protection, glucose control, hydration.","Renal-specific diet: controlled potassium, phosphorus, and sodium.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Uremic pericarditis, severe oliguria, refractory pulmonary edema."
DIS_00015,Major Depressive Disorder,F32.9,Psychiatry & Behavioral Health,Moderate,Moderate,"1 in 2,500 individuals globally","Chronic Fatigue; Loss of Appetite; Unexplained Weight Loss","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Psychotherapy, cognitive behavioral support, healthy sleep routine.","Tryptophan-rich turkey, dark chocolate, omega-3, probiotic yogurt.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Suicidal ideation, self-harm impulses, severe psychomotor retardation."
DIS_00016,Aortic Valve Stenosis,Q26.7,Cardiology & Vascular Medicine,Critical,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Aortic Valve Stenosis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00017,Dilated Cardiomyopathy,R27.8,Cardiology & Vascular Medicine,Low,Mild,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Dilated Cardiomyopathy.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00018,Hypertrophic Cardiomyopathy,S28.0,Cardiology & Vascular Medicine,Moderate,Moderate,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hypertrophic Cardiomyopathy.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00019,Infective Endocarditis,T29.1,Cardiology & Vascular Medicine,High,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Infective Endocarditis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00020,Atrial Fibrillation with Rapid Response,U30.2,Cardiology & Vascular Medicine,Moderate,Moderate,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Atrial Fibrillation with Rapid Response.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00021,Ventricular Tachycardia,V31.3,Cardiology & Vascular Medicine,Low,Mild,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Ventricular Tachycardia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00022,Supraventricular Tachycardia (SVT),W32.4,Cardiology & Vascular Medicine,Critical,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Supraventricular Tachycardia (SVT).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00023,Pericarditis with Effusion,X33.5,Cardiology & Vascular Medicine,Low,Mild,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pericarditis with Effusion.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00024,Cardiac Tamponade,Y34.6,Cardiology & Vascular Medicine,Moderate,Moderate,"35 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Cardiac Tamponade.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00025,Coronary Microvascular Angina,Z35.7,Cardiology & Vascular Medicine,High,Severe,"38 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Coronary Microvascular Angina.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00026,Prinzmetal Variant Angina,A36.8,Cardiology & Vascular Medicine,Moderate,Moderate,"41 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Prinzmetal Variant Angina.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00027,Thoracic Aortic Aneurysm,B37.0,Cardiology & Vascular Medicine,Low,Mild,"44 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Thoracic Aortic Aneurysm.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00028,Abdominal Aortic Aneurysm,C38.1,Cardiology & Vascular Medicine,Critical,Severe,"47 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Abdominal Aortic Aneurysm.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00029,Deep Vein Thrombosis (DVT),D39.2,Cardiology & Vascular Medicine,Low,Mild,"5 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Deep Vein Thrombosis (DVT).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00030,Pulmonary Embolism,E40.3,Cardiology & Vascular Medicine,Moderate,Moderate,"8 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pulmonary Embolism.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00031,Peripheral Artery Occlusive Disease,F41.4,Cardiology & Vascular Medicine,High,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Peripheral Artery Occlusive Disease.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00032,Raynaud Phenomenon,G42.5,Cardiology & Vascular Medicine,Moderate,Moderate,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Raynaud Phenomenon.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00033,Varicose Veins with Stasis Dermatitis,H43.6,Cardiology & Vascular Medicine,Low,Mild,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Varicose Veins with Stasis Dermatitis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00034,Postural Orthostatic Tachycardia Syndrome (POTS),I44.7,Cardiology & Vascular Medicine,Critical,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Postural Orthostatic Tachycardia Syndrome (POTS).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00035,Bicuspid Aortic Valve Disease,J45.8,Cardiology & Vascular Medicine,Low,Mild,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Bicuspid Aortic Valve Disease.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00036,Mitral Valve Prolapse,K46.0,Cardiology & Vascular Medicine,Moderate,Moderate,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Mitral Valve Prolapse.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00037,Tricuspid Regurgitation,L47.1,Cardiology & Vascular Medicine,High,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Tricuspid Regurgitation.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00038,Arrhythmogenic Right Ventricular Dysplasia,M48.2,Cardiology & Vascular Medicine,Moderate,Moderate,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Arrhythmogenic Right Ventricular Dysplasia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00039,Sick Sinus Syndrome,N49.3,Cardiology & Vascular Medicine,Low,Mild,"35 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Sick Sinus Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00040,Heart Block (Third Degree),O50.4,Cardiology & Vascular Medicine,Critical,Severe,"38 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Heart Block (Third Degree).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00041,Takotsubo Cardiomyopathy (Broken Heart Syndrome),P51.5,Cardiology & Vascular Medicine,Low,Mild,"41 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Takotsubo Cardiomyopathy (Broken Heart Syndrome).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00042,Cor Pulmonale,Q52.6,Cardiology & Vascular Medicine,Moderate,Moderate,"44 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Cor Pulmonale.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00043,Hypertensive Urgency,R53.7,Cardiology & Vascular Medicine,High,Severe,"47 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hypertensive Urgency.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00044,Renal Artery Stenosis,S54.8,Cardiology & Vascular Medicine,Moderate,Moderate,"5 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Renal Artery Stenosis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00045,Malignant Hypertension,T55.0,Cardiology & Vascular Medicine,Low,Mild,"8 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Cardiology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Malignant Hypertension.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00046,Chronic Obstructive Pulmonary Disease (COPD),U56.1,Pulmonology & Respiratory Medicine,Critical,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Pulmonology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Chronic Obstructive Pulmonary Disease (COPD).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00047,Idiopathic Pulmonary Fibrosis,V57.2,Pulmonology & Respiratory Medicine,Low,Mild,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Pulmonology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Idiopathic Pulmonary Fibrosis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00048,Bronchiectasis,W58.3,Pulmonology & Respiratory Medicine,Moderate,Moderate,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Pulmonology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Bronchiectasis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00049,Pulmonary Emphysema,X59.4,Pulmonology & Respiratory Medicine,High,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Pulmonology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pulmonary Emphysema.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00050,Chronic Bronchitis,Y60.5,Pulmonology & Respiratory Medicine,Moderate,Moderate,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Pulmonology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Chronic Bronchitis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
