disease_id,disease_name,symptom_id,symptom_name,association_weight,is_primary_symptom
DIS_00007,Acute Myocardial Infarction (Heart Attack),SYM_00026,Crushing Retrosternal Chest Pain,0.95,1
DIS_00007,Acute Myocardial Infarction (Heart Attack),SYM_00008,Profuse Night Sweats,0.83,0
DIS_00007,Acute Myocardial Infarction (Heart Attack),SYM_00030,Cold Clammy Extremities,0.71,0
DIS_00007,Acute Myocardial Infarction (Heart Attack),SYM_00019,Shortness of Breath at Rest,0.59,0
DIS_00008,Essential Hypertension,SYM_00045,Throbbing Hemicranial Headache,0.95,1
DIS_00008,Essential Hypertension,SYM_00027,Heart Palpitations,0.83,0
DIS_00008,Essential Hypertension,SYM_00032,Pulsatile Tinnitus,0.71,0
DIS_00008,Essential Hypertension,SYM_00010,Generalized Malaise,0.59,0
DIS_00009,Type 2 Diabetes Mellitus,SYM_00015,Extreme Thirst,0.95,1
DIS_00009,Type 2 Diabetes Mellitus,SYM_00006,Unexplained Weight Loss,0.83,0
DIS_00009,Type 2 Diabetes Mellitus,SYM_00005,Chronic Fatigue,0.71,0
DIS_00009,Type 2 Diabetes Mellitus,SYM_00010,Generalized Malaise,0.59,0
DIS_00010,Acute Ischemic Stroke,SYM_00048,Facial Droop & Asymmetry,0.95,1
DIS_00010,Acute Ischemic Stroke,SYM_00049,Unilateral Arm or Leg Weakness,0.83,0
DIS_00010,Acute Ischemic Stroke,SYM_00050,Slurred Speech / Aphasia,0.71,0
DIS_00010,Acute Ischemic Stroke,SYM_00046,Thunderclap Headache,0.59,0
DIS_00011,Gastroesophageal Reflux Disease (GERD),SYM_00034,Epigastric Burning Pain,0.95,1
DIS_00011,Gastroesophageal Reflux Disease (GERD),SYM_00036,Persistent Nausea,0.83,0
DIS_00011,Gastroesophageal Reflux Disease (GERD),SYM_00044,Difficulty Swallowing (Dysphagia),0.71,0
DIS_00012,Chronic Viral Hepatitis B,SYM_00042,Jaundice (Yellow Sclera & Skin),0.95,1
DIS_00012,Chronic Viral Hepatitis B,SYM_00009,Loss of Appetite,0.83,0
DIS_00012,Chronic Viral Hepatitis B,SYM_00043,Abdominal Distension & Ascites,0.71,0
DIS_00012,Chronic Viral Hepatitis B,SYM_00005,Chronic Fatigue,0.59,0
DIS_00013,Rheumatoid Arthritis,SYM_00010,Generalized Malaise,0.95,1
DIS_00013,Rheumatoid Arthritis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00013,Rheumatoid Arthritis,SYM_00002,Low Grade Fever,0.71,0
DIS_00014,Chronic Kidney Disease (Stage 3-4),SYM_00029,Bilateral Ankle Swelling,0.95,1
DIS_00014,Chronic Kidney Disease (Stage 3-4),SYM_00013,Generalized Edema,0.83,0
DIS_00014,Chronic Kidney Disease (Stage 3-4),SYM_00005,Chronic Fatigue,0.71,0
DIS_00014,Chronic Kidney Disease (Stage 3-4),SYM_00009,Loss of Appetite,0.59,0
DIS_00015,Major Depressive Disorder,SYM_00005,Chronic Fatigue,0.95,1
DIS_00015,Major Depressive Disorder,SYM_00009,Loss of Appetite,0.83,0
DIS_00015,Major Depressive Disorder,SYM_00006,Unexplained Weight Loss,0.71,0
DIS_00016,Aortic Valve Stenosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00016,Aortic Valve Stenosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00016,Aortic Valve Stenosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00016,Aortic Valve Stenosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00017,Dilated Cardiomyopathy,SYM_00010,Generalized Malaise,0.95,1
DIS_00017,Dilated Cardiomyopathy,SYM_00005,Chronic Fatigue,0.83,0
DIS_00017,Dilated Cardiomyopathy,SYM_00002,Low Grade Fever,0.71,0
DIS_00017,Dilated Cardiomyopathy,SYM_00009,Loss of Appetite,0.59,0
DIS_00018,Hypertrophic Cardiomyopathy,SYM_00010,Generalized Malaise,0.95,1
DIS_00018,Hypertrophic Cardiomyopathy,SYM_00005,Chronic Fatigue,0.83,0
DIS_00018,Hypertrophic Cardiomyopathy,SYM_00002,Low Grade Fever,0.71,0
DIS_00018,Hypertrophic Cardiomyopathy,SYM_00009,Loss of Appetite,0.59,0
DIS_00019,Infective Endocarditis,SYM_00010,Generalized Malaise,0.95,1
DIS_00019,Infective Endocarditis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00019,Infective Endocarditis,SYM_00002,Low Grade Fever,0.71,0
DIS_00019,Infective Endocarditis,SYM_00009,Loss of Appetite,0.59,0
DIS_00020,Atrial Fibrillation with Rapid Response,SYM_00010,Generalized Malaise,0.95,1
DIS_00020,Atrial Fibrillation with Rapid Response,SYM_00005,Chronic Fatigue,0.83,0
DIS_00020,Atrial Fibrillation with Rapid Response,SYM_00002,Low Grade Fever,0.71,0
DIS_00020,Atrial Fibrillation with Rapid Response,SYM_00009,Loss of Appetite,0.59,0
DIS_00021,Ventricular Tachycardia,SYM_00010,Generalized Malaise,0.95,1
DIS_00021,Ventricular Tachycardia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00021,Ventricular Tachycardia,SYM_00002,Low Grade Fever,0.71,0
DIS_00021,Ventricular Tachycardia,SYM_00009,Loss of Appetite,0.59,0
DIS_00022,Supraventricular Tachycardia (SVT),SYM_00010,Generalized Malaise,0.95,1
DIS_00022,Supraventricular Tachycardia (SVT),SYM_00005,Chronic Fatigue,0.83,0
DIS_00022,Supraventricular Tachycardia (SVT),SYM_00002,Low Grade Fever,0.71,0
DIS_00022,Supraventricular Tachycardia (SVT),SYM_00009,Loss of Appetite,0.59,0
DIS_00023,Pericarditis with Effusion,SYM_00010,Generalized Malaise,0.95,1
DIS_00023,Pericarditis with Effusion,SYM_00005,Chronic Fatigue,0.83,0
DIS_00023,Pericarditis with Effusion,SYM_00002,Low Grade Fever,0.71,0
DIS_00023,Pericarditis with Effusion,SYM_00009,Loss of Appetite,0.59,0
DIS_00024,Cardiac Tamponade,SYM_00010,Generalized Malaise,0.95,1
DIS_00024,Cardiac Tamponade,SYM_00005,Chronic Fatigue,0.83,0
DIS_00024,Cardiac Tamponade,SYM_00002,Low Grade Fever,0.71,0
DIS_00024,Cardiac Tamponade,SYM_00009,Loss of Appetite,0.59,0
DIS_00025,Coronary Microvascular Angina,SYM_00010,Generalized Malaise,0.95,1
DIS_00025,Coronary Microvascular Angina,SYM_00005,Chronic Fatigue,0.83,0
DIS_00025,Coronary Microvascular Angina,SYM_00002,Low Grade Fever,0.71,0
DIS_00025,Coronary Microvascular Angina,SYM_00009,Loss of Appetite,0.59,0
DIS_00026,Prinzmetal Variant Angina,SYM_00010,Generalized Malaise,0.95,1
DIS_00026,Prinzmetal Variant Angina,SYM_00005,Chronic Fatigue,0.83,0
DIS_00026,Prinzmetal Variant Angina,SYM_00002,Low Grade Fever,0.71,0
DIS_00026,Prinzmetal Variant Angina,SYM_00009,Loss of Appetite,0.59,0
DIS_00027,Thoracic Aortic Aneurysm,SYM_00010,Generalized Malaise,0.95,1
DIS_00027,Thoracic Aortic Aneurysm,SYM_00005,Chronic Fatigue,0.83,0
DIS_00027,Thoracic Aortic Aneurysm,SYM_00002,Low Grade Fever,0.71,0
DIS_00027,Thoracic Aortic Aneurysm,SYM_00009,Loss of Appetite,0.59,0
DIS_00028,Abdominal Aortic Aneurysm,SYM_00010,Generalized Malaise,0.95,1
DIS_00028,Abdominal Aortic Aneurysm,SYM_00005,Chronic Fatigue,0.83,0
DIS_00028,Abdominal Aortic Aneurysm,SYM_00002,Low Grade Fever,0.71,0
DIS_00028,Abdominal Aortic Aneurysm,SYM_00009,Loss of Appetite,0.59,0
DIS_00029,Deep Vein Thrombosis (DVT),SYM_00010,Generalized Malaise,0.95,1
DIS_00029,Deep Vein Thrombosis (DVT),SYM_00005,Chronic Fatigue,0.83,0
DIS_00029,Deep Vein Thrombosis (DVT),SYM_00002,Low Grade Fever,0.71,0
DIS_00029,Deep Vein Thrombosis (DVT),SYM_00009,Loss of Appetite,0.59,0
DIS_00030,Pulmonary Embolism,SYM_00010,Generalized Malaise,0.95,1
DIS_00030,Pulmonary Embolism,SYM_00005,Chronic Fatigue,0.83,0
DIS_00030,Pulmonary Embolism,SYM_00002,Low Grade Fever,0.71,0
DIS_00030,Pulmonary Embolism,SYM_00009,Loss of Appetite,0.59,0
DIS_00031,Peripheral Artery Occlusive Disease,SYM_00010,Generalized Malaise,0.95,1
DIS_00031,Peripheral Artery Occlusive Disease,SYM_00005,Chronic Fatigue,0.83,0
DIS_00031,Peripheral Artery Occlusive Disease,SYM_00002,Low Grade Fever,0.71,0
DIS_00031,Peripheral Artery Occlusive Disease,SYM_00009,Loss of Appetite,0.59,0
DIS_00032,Raynaud Phenomenon,SYM_00010,Generalized Malaise,0.95,1
DIS_00032,Raynaud Phenomenon,SYM_00005,Chronic Fatigue,0.83,0
DIS_00032,Raynaud Phenomenon,SYM_00002,Low Grade Fever,0.71,0
DIS_00032,Raynaud Phenomenon,SYM_00009,Loss of Appetite,0.59,0
DIS_00033,Varicose Veins with Stasis Dermatitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00033,Varicose Veins with Stasis Dermatitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00033,Varicose Veins with Stasis Dermatitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00033,Varicose Veins with Stasis Dermatitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00034,Postural Orthostatic Tachycardia Syndrome (POTS),SYM_00010,Generalized Malaise,0.95,1
DIS_00034,Postural Orthostatic Tachycardia Syndrome (POTS),SYM_00005,Chronic Fatigue,0.83,0
DIS_00034,Postural Orthostatic Tachycardia Syndrome (POTS),SYM_00002,Low Grade Fever,0.71,0
DIS_00034,Postural Orthostatic Tachycardia Syndrome (POTS),SYM_00009,Loss of Appetite,0.59,0
DIS_00035,Bicuspid Aortic Valve Disease,SYM_00010,Generalized Malaise,0.95,1
DIS_00035,Bicuspid Aortic Valve Disease,SYM_00005,Chronic Fatigue,0.83,0
DIS_00035,Bicuspid Aortic Valve Disease,SYM_00002,Low Grade Fever,0.71,0
DIS_00035,Bicuspid Aortic Valve Disease,SYM_00009,Loss of Appetite,0.59,0
DIS_00036,Mitral Valve Prolapse,SYM_00010,Generalized Malaise,0.95,1
DIS_00036,Mitral Valve Prolapse,SYM_00005,Chronic Fatigue,0.83,0
DIS_00036,Mitral Valve Prolapse,SYM_00002,Low Grade Fever,0.71,0
DIS_00036,Mitral Valve Prolapse,SYM_00009,Loss of Appetite,0.59,0
DIS_00037,Tricuspid Regurgitation,SYM_00010,Generalized Malaise,0.95,1
DIS_00037,Tricuspid Regurgitation,SYM_00005,Chronic Fatigue,0.83,0
DIS_00037,Tricuspid Regurgitation,SYM_00002,Low Grade Fever,0.71,0
DIS_00037,Tricuspid Regurgitation,SYM_00009,Loss of Appetite,0.59,0
DIS_00038,Arrhythmogenic Right Ventricular Dysplasia,SYM_00010,Generalized Malaise,0.95,1
DIS_00038,Arrhythmogenic Right Ventricular Dysplasia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00038,Arrhythmogenic Right Ventricular Dysplasia,SYM_00002,Low Grade Fever,0.71,0
DIS_00038,Arrhythmogenic Right Ventricular Dysplasia,SYM_00009,Loss of Appetite,0.59,0
DIS_00039,Sick Sinus Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00039,Sick Sinus Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00039,Sick Sinus Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00039,Sick Sinus Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00040,Heart Block (Third Degree),SYM_00010,Generalized Malaise,0.95,1
DIS_00040,Heart Block (Third Degree),SYM_00005,Chronic Fatigue,0.83,0
DIS_00040,Heart Block (Third Degree),SYM_00002,Low Grade Fever,0.71,0
DIS_00040,Heart Block (Third Degree),SYM_00009,Loss of Appetite,0.59,0
DIS_00041,Takotsubo Cardiomyopathy (Broken Heart Syndrome),SYM_00010,Generalized Malaise,0.95,1
DIS_00041,Takotsubo Cardiomyopathy (Broken Heart Syndrome),SYM_00005,Chronic Fatigue,0.83,0
DIS_00041,Takotsubo Cardiomyopathy (Broken Heart Syndrome),SYM_00002,Low Grade Fever,0.71,0
DIS_00041,Takotsubo Cardiomyopathy (Broken Heart Syndrome),SYM_00009,Loss of Appetite,0.59,0
DIS_00042,Cor Pulmonale,SYM_00010,Generalized Malaise,0.95,1
DIS_00042,Cor Pulmonale,SYM_00005,Chronic Fatigue,0.83,0
DIS_00042,Cor Pulmonale,SYM_00002,Low Grade Fever,0.71,0
DIS_00042,Cor Pulmonale,SYM_00009,Loss of Appetite,0.59,0
DIS_00043,Hypertensive Urgency,SYM_00010,Generalized Malaise,0.95,1
DIS_00043,Hypertensive Urgency,SYM_00005,Chronic Fatigue,0.83,0
DIS_00043,Hypertensive Urgency,SYM_00002,Low Grade Fever,0.71,0
DIS_00043,Hypertensive Urgency,SYM_00009,Loss of Appetite,0.59,0
DIS_00044,Renal Artery Stenosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00044,Renal Artery Stenosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00044,Renal Artery Stenosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00044,Renal Artery Stenosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00045,Malignant Hypertension,SYM_00010,Generalized Malaise,0.95,1
DIS_00045,Malignant Hypertension,SYM_00005,Chronic Fatigue,0.83,0
DIS_00045,Malignant Hypertension,SYM_00002,Low Grade Fever,0.71,0
DIS_00045,Malignant Hypertension,SYM_00009,Loss of Appetite,0.59,0
DIS_00046,Chronic Obstructive Pulmonary Disease (COPD),SYM_00010,Generalized Malaise,0.95,1
DIS_00046,Chronic Obstructive Pulmonary Disease (COPD),SYM_00005,Chronic Fatigue,0.83,0
DIS_00046,Chronic Obstructive Pulmonary Disease (COPD),SYM_00002,Low Grade Fever,0.71,0
DIS_00046,Chronic Obstructive Pulmonary Disease (COPD),SYM_00009,Loss of Appetite,0.59,0
DIS_00047,Idiopathic Pulmonary Fibrosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00047,Idiopathic Pulmonary Fibrosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00047,Idiopathic Pulmonary Fibrosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00047,Idiopathic Pulmonary Fibrosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00048,Bronchiectasis,SYM_00010,Generalized Malaise,0.95,1
DIS_00048,Bronchiectasis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00048,Bronchiectasis,SYM_00002,Low Grade Fever,0.71,0
DIS_00048,Bronchiectasis,SYM_00009,Loss of Appetite,0.59,0
DIS_00049,Pulmonary Emphysema,SYM_00010,Generalized Malaise,0.95,1
DIS_00049,Pulmonary Emphysema,SYM_00005,Chronic Fatigue,0.83,0
DIS_00049,Pulmonary Emphysema,SYM_00002,Low Grade Fever,0.71,0
DIS_00049,Pulmonary Emphysema,SYM_00009,Loss of Appetite,0.59,0
DIS_00050,Chronic Bronchitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00050,Chronic Bronchitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00050,Chronic Bronchitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00050,Chronic Bronchitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00051,Hypersensitivity Pneumonitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00051,Hypersensitivity Pneumonitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00051,Hypersensitivity Pneumonitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00051,Hypersensitivity Pneumonitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00052,Sarcoidosis (Pulmonary),SYM_00010,Generalized Malaise,0.95,1
DIS_00052,Sarcoidosis (Pulmonary),SYM_00005,Chronic Fatigue,0.83,0
DIS_00052,Sarcoidosis (Pulmonary),SYM_00002,Low Grade Fever,0.71,0
DIS_00052,Sarcoidosis (Pulmonary),SYM_00009,Loss of Appetite,0.59,0
DIS_00053,Pneumothorax (Spontaneous),SYM_00010,Generalized Malaise,0.95,1
DIS_00053,Pneumothorax (Spontaneous),SYM_00005,Chronic Fatigue,0.83,0
DIS_00053,Pneumothorax (Spontaneous),SYM_00002,Low Grade Fever,0.71,0
DIS_00053,Pneumothorax (Spontaneous),SYM_00009,Loss of Appetite,0.59,0
DIS_00054,Pleural Effusion (Exudative),SYM_00010,Generalized Malaise,0.95,1
DIS_00054,Pleural Effusion (Exudative),SYM_00005,Chronic Fatigue,0.83,0
DIS_00054,Pleural Effusion (Exudative),SYM_00002,Low Grade Fever,0.71,0
DIS_00054,Pleural Effusion (Exudative),SYM_00009,Loss of Appetite,0.59,0
DIS_00055,Aspiration Pneumonitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00055,Aspiration Pneumonitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00055,Aspiration Pneumonitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00055,Aspiration Pneumonitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00056,Legionnaires Disease (Pneumonia),SYM_00010,Generalized Malaise,0.95,1
DIS_00056,Legionnaires Disease (Pneumonia),SYM_00005,Chronic Fatigue,0.83,0
DIS_00056,Legionnaires Disease (Pneumonia),SYM_00002,Low Grade Fever,0.71,0
DIS_00056,Legionnaires Disease (Pneumonia),SYM_00009,Loss of Appetite,0.59,0
DIS_00057,Mycoplasma Walking Pneumonia,SYM_00010,Generalized Malaise,0.95,1
DIS_00057,Mycoplasma Walking Pneumonia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00057,Mycoplasma Walking Pneumonia,SYM_00002,Low Grade Fever,0.71,0
DIS_00057,Mycoplasma Walking Pneumonia,SYM_00009,Loss of Appetite,0.59,0
DIS_00058,Asbestosis & Occupational Lung Disease,SYM_00010,Generalized Malaise,0.95,1
DIS_00058,Asbestosis & Occupational Lung Disease,SYM_00005,Chronic Fatigue,0.83,0
DIS_00058,Asbestosis & Occupational Lung Disease,SYM_00002,Low Grade Fever,0.71,0
DIS_00058,Asbestosis & Occupational Lung Disease,SYM_00009,Loss of Appetite,0.59,0
DIS_00059,Silicosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00059,Silicosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00059,Silicosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00059,Silicosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00060,Sleep Apnea Syndrome (Obstructive),SYM_00010,Generalized Malaise,0.95,1
DIS_00060,Sleep Apnea Syndrome (Obstructive),SYM_00005,Chronic Fatigue,0.83,0
DIS_00060,Sleep Apnea Syndrome (Obstructive),SYM_00002,Low Grade Fever,0.71,0
DIS_00060,Sleep Apnea Syndrome (Obstructive),SYM_00009,Loss of Appetite,0.59,0
DIS_00061,Central Sleep Apnea,SYM_00010,Generalized Malaise,0.95,1
DIS_00061,Central Sleep Apnea,SYM_00005,Chronic Fatigue,0.83,0
DIS_00061,Central Sleep Apnea,SYM_00002,Low Grade Fever,0.71,0
DIS_00061,Central Sleep Apnea,SYM_00009,Loss of Appetite,0.59,0
DIS_00062,Pulmonary Alveolar Proteinosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00062,Pulmonary Alveolar Proteinosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00062,Pulmonary Alveolar Proteinosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00062,Pulmonary Alveolar Proteinosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00063,Cystic Fibrosis (Adult),SYM_00010,Generalized Malaise,0.95,1
DIS_00063,Cystic Fibrosis (Adult),SYM_00005,Chronic Fatigue,0.83,0
DIS_00063,Cystic Fibrosis (Adult),SYM_00002,Low Grade Fever,0.71,0
DIS_00063,Cystic Fibrosis (Adult),SYM_00009,Loss of Appetite,0.59,0
DIS_00064,Acute Respiratory Distress Syndrome (ARDS),SYM_00010,Generalized Malaise,0.95,1
DIS_00064,Acute Respiratory Distress Syndrome (ARDS),SYM_00005,Chronic Fatigue,0.83,0
DIS_00064,Acute Respiratory Distress Syndrome (ARDS),SYM_00002,Low Grade Fever,0.71,0
DIS_00064,Acute Respiratory Distress Syndrome (ARDS),SYM_00009,Loss of Appetite,0.59,0
DIS_00065,Tracheomalacia,SYM_00010,Generalized Malaise,0.95,1
DIS_00065,Tracheomalacia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00065,Tracheomalacia,SYM_00002,Low Grade Fever,0.71,0
DIS_00065,Tracheomalacia,SYM_00009,Loss of Appetite,0.59,0
DIS_00066,Bronchopulmonary Dysplasia,SYM_00010,Generalized Malaise,0.95,1
DIS_00066,Bronchopulmonary Dysplasia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00066,Bronchopulmonary Dysplasia,SYM_00002,Low Grade Fever,0.71,0
DIS_00066,Bronchopulmonary Dysplasia,SYM_00009,Loss of Appetite,0.59,0
DIS_00067,Laryngotracheobronchitis (Croup),SYM_00010,Generalized Malaise,0.95,1
DIS_00067,Laryngotracheobronchitis (Croup),SYM_00005,Chronic Fatigue,0.83,0
DIS_00067,Laryngotracheobronchitis (Croup),SYM_00002,Low Grade Fever,0.71,0
DIS_00067,Laryngotracheobronchitis (Croup),SYM_00009,Loss of Appetite,0.59,0
DIS_00068,Pertussis (Whooping Cough),SYM_00010,Generalized Malaise,0.95,1
DIS_00068,Pertussis (Whooping Cough),SYM_00005,Chronic Fatigue,0.83,0
DIS_00068,Pertussis (Whooping Cough),SYM_00002,Low Grade Fever,0.71,0
DIS_00068,Pertussis (Whooping Cough),SYM_00009,Loss of Appetite,0.59,0
DIS_00069,Bronchiolitis Obliterans,SYM_00010,Generalized Malaise,0.95,1
DIS_00069,Bronchiolitis Obliterans,SYM_00005,Chronic Fatigue,0.83,0
DIS_00069,Bronchiolitis Obliterans,SYM_00002,Low Grade Fever,0.71,0
DIS_00069,Bronchiolitis Obliterans,SYM_00009,Loss of Appetite,0.59,0
DIS_00070,Churg-Strauss Eosinophilic Granulomatosis,SYM_00010,Generalized Malaise,0.95,1
DIS_00070,Churg-Strauss Eosinophilic Granulomatosis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00070,Churg-Strauss Eosinophilic Granulomatosis,SYM_00002,Low Grade Fever,0.71,0
DIS_00070,Churg-Strauss Eosinophilic Granulomatosis,SYM_00009,Loss of Appetite,0.59,0
DIS_00071,Goodpasture Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00071,Goodpasture Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00071,Goodpasture Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00071,Goodpasture Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00072,Vocal Cord Dysfunction,SYM_00010,Generalized Malaise,0.95,1
DIS_00072,Vocal Cord Dysfunction,SYM_00005,Chronic Fatigue,0.83,0
DIS_00072,Vocal Cord Dysfunction,SYM_00002,Low Grade Fever,0.71,0
DIS_00072,Vocal Cord Dysfunction,SYM_00009,Loss of Appetite,0.59,0
DIS_00073,Chronic Cough Hypersensitivity,SYM_00010,Generalized Malaise,0.95,1
DIS_00073,Chronic Cough Hypersensitivity,SYM_00005,Chronic Fatigue,0.83,0
DIS_00073,Chronic Cough Hypersensitivity,SYM_00002,Low Grade Fever,0.71,0
DIS_00073,Chronic Cough Hypersensitivity,SYM_00009,Loss of Appetite,0.59,0
DIS_00074,Primary Ciliary Dyskinesia,SYM_00010,Generalized Malaise,0.95,1
DIS_00074,Primary Ciliary Dyskinesia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00074,Primary Ciliary Dyskinesia,SYM_00002,Low Grade Fever,0.71,0
DIS_00074,Primary Ciliary Dyskinesia,SYM_00009,Loss of Appetite,0.59,0
DIS_00075,Alveolar Hemorrhage Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00075,Alveolar Hemorrhage Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00075,Alveolar Hemorrhage Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00075,Alveolar Hemorrhage Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00076,Ulcerative Colitis (Pancolitis),SYM_00010,Generalized Malaise,0.95,1
DIS_00076,Ulcerative Colitis (Pancolitis),SYM_00005,Chronic Fatigue,0.83,0
DIS_00076,Ulcerative Colitis (Pancolitis),SYM_00002,Low Grade Fever,0.71,0
DIS_00076,Ulcerative Colitis (Pancolitis),SYM_00009,Loss of Appetite,0.59,0
DIS_00077,Crohn Disease (Terminal Ileitis),SYM_00010,Generalized Malaise,0.95,1
DIS_00077,Crohn Disease (Terminal Ileitis),SYM_00005,Chronic Fatigue,0.83,0
DIS_00077,Crohn Disease (Terminal Ileitis),SYM_00002,Low Grade Fever,0.71,0
DIS_00077,Crohn Disease (Terminal Ileitis),SYM_00009,Loss of Appetite,0.59,0
DIS_00078,Celiac Disease (Gluten Enteropathy),SYM_00010,Generalized Malaise,0.95,1
DIS_00078,Celiac Disease (Gluten Enteropathy),SYM_00005,Chronic Fatigue,0.83,0
DIS_00078,Celiac Disease (Gluten Enteropathy),SYM_00002,Low Grade Fever,0.71,0
